港澳频道,#genre#
1905电影网,http://cdn.jdshipin.com:8880/1905ts.php?id=1905a
1905电影网外,http://cdn.jdshipin.com:8880/1905ts.php?id=1905b
1905国内电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影台,http://php.jdshipin.com:8880/1905.php?id=1905dy2
EYETV戏剧台,http://50.7.234.10:8278/eyetvxiju_twn/playlist.m3u8?tid=ME3E6686724066867240&ct=19254&tsum=728fc49fcd53cd770381ffd87883b1d1
JStar极限电影台,http://u9v.cn/5FZsLd
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5300&tk=97475bb89d45
TVBS台剧,https://tv.iill.top/4gtv/285
爱尔达影剧台,http://50.7.234.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
八大戏剧台,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=m4970c4e1b988&ct=18335&tsum=20cb1d15d4e116ab9e44edb542cf51a5
电影剧场✔原,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9897e9&tk=6949f8ce7202
东森电影台,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9901&tk=e640d0a1bf70
东森电影台,http://mytv.cdn.com.mp/live/dsdy/stream.m3u8
东森戏剧台,http://50.7.234.10:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
东森戏剧台,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0770&tk=e640d0a1bf70
斗鱼影视22,http://zzy789.xyz/douyu1.php?id=10297898
斗鱼影视25,http://zzy789.xyz/douyu1.php?id=7623292
经典电影台2,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
经典影剧台,http://lxajh.top/tv/douyu.php?id=3928
靖天电影台,http://live4play.uk/livehttpplay?channel_id=12037
靖天电影台,https://aktv.top/AKTV/live/aktv/null6/AKTV.m3u8
靖天戏剧台,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
龙华电影台,http://live_bin.m16tv.cfd/stream/taiwan/null-8/AKTV.m3u8
龙华电影台,https://cdn3.132.us.kg/live/lhdy/stream.m3u8
龙华电影台,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华戏剧台,http://50.7.234.10:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
龙华戏剧台,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2683&tk=e640d0a1bf70
龙华戏剧台,https://cdn3.132.us.kg/live/lhxj/stream.m3u8
龙华戏剧台,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
美亚电影台,http://aktv_stream.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
美亚电影台,http://live4play.uk/livehttpplay?channel_id=20197
美亚电影台,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影台国语,http://50.7.234.10:8278/meiyamovie_twn/playlist.m3u8?tid=MC6C9419277694192776&ct=19234&tsum=43f9d2e13c7cbbce7e5c5ec94fa38750
三立戏剧台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
三立戏剧台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
三立戏剧台,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6103&tk=e640d0a1bf70
三立戏剧台,https://stream1.freetv.fun/san-li-xi-ju-4.m3u8
神乐欧美影院,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
神乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=85894
天映电影台,http://live4play.uk/livehttpplay?channel_id=10130
纬来电影台,http://live4play.uk/livehttpplay?channel_id=20199
