更新时间,#genre#
20241231-15-45-33,url


RespoTime,whitelist,#genre#
16.99ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?
17.17ms,东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
17.72ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
17.91ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
18.04ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
18.10ms,华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
18.22ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
18.26ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
18.63ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
18.71ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
19.00ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?
20.75ms,华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
22.18ms,春晚83,http://txmov2.a.kwimgs.com/bs3/video-hls/5207287136834522947_hlshd15.m3u8
33.47ms,CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
34.62ms,无线星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
37.85ms,无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
41.05ms,春晚21,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700831151909807_hlshd15.m3u8
41.15ms,2008年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
41.86ms,2007年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
42.17ms,春晚11,https://txmov2.a.kwimgs.com/bs3/video-hls/5243597434070590481_hlshd15.m3u8
42.57ms,春晚10,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664862006975841_hlshd15.m3u8
43.39ms,春晚13,https://txmov2.a.kwimgs.com/bs3/video-hls/5241627109089548390_hlshd15.m3u8
44.69ms,春晚16,https://txmov2.a.kwimgs.com/bs3/video-hls/5238530884094441260_hlshd15.m3u8
45.51ms,Now爆谷,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
47.00ms,第34集,https://s3.bfengbf.com/video/qingyuniandierji/%E7%AC%AC34%E9%9B%86/index.m3u8
48.38ms,第15集,https://s3.bfengbf.com/video/qingyunian2/15/index.m3u8
48.61ms,美亞電影,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
49.09ms,Now星影,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
49.22ms,余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8zzhed
49.67ms,上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8zzhed
49.68ms,开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed
50.56ms,黄金翡翠,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
50.82ms,VIUTV6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
51.62ms,春晚96,https://txmov2.a.kwimgs.com/bs3/video-hls/5202783562064785590_hlshd15.m3u8
51.73ms,春晚89,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620763762726260_hlsb.m3u8
51.80ms,春晚09,https://txmov2.a.kwimgs.com/bs3/video-hls/5214042558858339330_hlshd15.m3u8
53.41ms,TVBJ1,http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
53.55ms,凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
53.67ms,明珠剧集,http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
54.52ms,龙华经典,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
55.25ms,VIUTV 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
58.04ms,凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
58.12ms,寰宇新闻,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
58.68ms,明珠台,https://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
